04/27/2026-16:53:34.038812  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:54681
04/27/2026-16:53:34.041997  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:53481
04/27/2026-16:53:39.670784  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:35787
04/27/2026-16:53:43.813502  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:35556 -> 172.16.10.3:80
04/27/2026-16:53:43.813502  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:35556 -> 172.16.10.3:80
04/27/2026-16:53:43.813126  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:35528 -> 172.16.10.3:80
04/27/2026-16:53:43.813126  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:35528 -> 172.16.10.3:80
04/27/2026-16:53:46.039041  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:42147
04/27/2026-16:53:46.329956  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:43580
04/27/2026-16:53:52.019313  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:58080 -> 172.16.10.3:80
04/27/2026-16:53:52.019313  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:58080 -> 172.16.10.3:80
04/27/2026-16:53:52.219824  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:39577
04/27/2026-16:53:58.183567  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41582 -> 172.16.10.3:80
04/27/2026-16:53:58.183567  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41582 -> 172.16.10.3:80
